"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,0,0,0,0,6619802707.74851,0,0,0,0,0,0,0
2,0,0,0,0,0,10046835862.439,0,0,0,0,0,0,0
3,0,0,0,0,0,13037099379.5789,0,0,0,0,0,0,0
4,0,0,0,0,0,5864788312.02345,0,0,0,0,0,0,0
