"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,0,0,0,0,59744065465.2016,2535958208824.32,0,0,0,0,0,0
2,0,0,0,0,0,90673218822.837,3848808945354.24,0,0,0,0,0,0
3,0,0,0,0,0,117660503370.924,4994339053670.4,0,0,0,0,0,0
4,0,0,0,0,0,52917779506.3209,2127744194607.79,0,0,0,0,0,0
