iso,gid,iso3,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
BGD.3.1.13_1,BGD.3.1.13_1,BGD,Gendaria,0.67,106586,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.14_1,BGD.3.1.14_1,BGD,Gulshan,0.67,422700,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.15_1,BGD.3.1.15_1,BGD,Hazaribagh,0.67,314664,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.16_1,BGD.3.1.16_1,BGD,Jatrabari,0.67,973390,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.17_1,BGD.3.1.17_1,BGD,Kadamtali,0.67,504426,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.18_1,BGD.3.1.18_1,BGD,Kafrul,0.67,710545,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.19_1,BGD.3.1.19_1,BGD,Kalabagan,0.67,172137,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.20_1,BGD.3.1.20_1,BGD,Kamrangir Char,0.67,57479,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.21_1,BGD.3.1.21_1,BGD,Keraniganj,0.67,1267638,0.999835653123311,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.22_1,BGD.3.1.22_1,BGD,Khilgaon,0.67,745042,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
