"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,30789568670.0907,0,16706788506413.4,188322190026.52,455756983803.45,31206625316677.8,10599202120660.6,0,0,4238873240223.55,437661555487.685,6800327649755.71
2,0,7145378596.45341,0,7990283505944.68,849165268932.311,2097427815758.97,0,24968556643193.9,504749738465.28,21877214253447.2,3547158520202.03,1175270022638.5,54247979882110.5
3,0,36404977941.9227,0,22588300342052.7,1463556419503.11,4597428717964.49,0,103299237868093,203913963187.2,35950492732776.7,10840533216454.5,2381742007106.7,50900026307564.7
4,0,16045451094.1668,0,16754642648806.8,1289465068890.29,5519554252268,0,98537616854124.1,4172297529486.64,42631199876834.1,5110161457447.07,2969434194692.8,48664941450258.8
5,0,18331217382.5508,0,13312930749417.1,1970920880413.28,3626107004485.95,5106538688183.64,79858729100555.1,148741545738.24,27639709034847.4,32503046975181.6,3774440508917.46,75784717101235.3
