"iso","humans","land","wwtp"
1,38737663373524.1,19979998628.407,31906703759566.3
2,117103241920237,161709109052.733,0
3,232097151349237,164485203407.426,0
4,225503421275822,161937508080.897,0
5,238287492673997,235623153522.936,5221096978838.12
