iso,gid,iso_country,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
1,CHN,CHN,China,0.788,1416096094,0.837,0.041,0.004,0.007,0.0,0.001,0.033,0.791,0.0,0.0,0.001,0.007,0.078,0.078,,0.1,3,0,0,0,0.027,0.051,0.769,0.051,0.051,0.009,0.04,0.0,0.011,0.065,0.289,0.0,0.0,0.009,0.006,0.323,0.249,,0.1,3,0,0,0,0.071,0.0,0.297,0.0,0.0
2,IND,IND,India,0.644,1463865525,0.841,0.078,0.0,0.011,0.014,0.072,0.533,0.253,0.003,0.0,0.061,0.005,0.005,0.043,,0.1,3,0,0,0,0.283,0.019,0.126,0.019,0.019,0.0,0.008,0.0,0.868,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,3,0,0,0,0.568,0.0,0.006,0.0,0.0
