"iso","humans","land","wwtp"
1,240750709731489,668751971476.359,0
2,4714987777840314,56456771171.9714,17584468630261858
3,63311598719599992,0,0
4,54742347381960,0,142659520534875
5,496737922806720,0,4062143355130120
