"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,0,0,0,0,0,0,0,0,0,0,0,241419461702966
2,0,0,0,0,410000428804.382,19984269422173,22222011138409096,0,0,0,57107456613270,0,0
3,0,0,0,0,0,0,63034610475201744,0,0,0,276988244398250,0,0
4,0,0,0,0,0,0,197401867916835,0,0,0,0,0,0
5,0,0,0,0,0,0,4558881277936840,0,0,0,0,0,0
