"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,1177800269.02195,0,0,6728384480.18615,23792028988.5031,0,0,0,0,0,15911701867.5577,240387803178.391
2,0,420415199.056998,0,0,49962640992.552,123407111431.11,0,0,0,0,0,69149783156.1416,3191807817138.97
3,0,1994712938.4903,0,0,80191641122.5605,251903752342.346,0,0,0,0,0,130501153037.388,2788930162440.14
4,0,695279578.824792,0,0,55874947033.0098,239172668521.15,0,0,0,0,0,128671169424.742,2108743456104.5
5,0,794438120.028763,0,0,85677509031.9328,157534251767.715,0,0,0,0,0,164084086847.989,3294203823607.29
