"iso","bucketLatrine","compostingToilet","containerBased","flushOpen","flushPit","flushSeptic","flushSewer","flushUnknown","hangingToilet","openDefecation","other","pitNoSlab","pitSlab"
1,0,10823747932.1403,0,5859717705638.09,67309086933.3583,233226290541.615,11893266784825.4,3717550641658.61,0,5551136107387.45,1486736997248.66,155585720479.854,2440366717640.6
2,0,3794247171.48941,0,4242897725094.21,450912834957.782,1113749180665.77,0,13258482268054.2,268025723428.075,11616957335530.2,1883566559899.48,624076792984.178,28806065549679.2
3,0,18002284269.875,0,11169928589976.5,723729561131.108,2273431364889.67,0,51081537473515.7,100835581819.306,17777541050841.8,5360650428382.85,1177772906162.43,25170094716022.2
4,0,6274898198.89375,0,6552241901028.69,504271396972.914,2158533333403.38,0,38535128173866.6,1631661341234.74,16671793005624.9,1998432000272.53,1161257304058.29,19031409691343.1
5,0,7201565933.94969,0,5229577861422.43,774317132704.05,1424774423299.69,1946170928425.97,31370060402656.3,58428569133.8485,10857414733500.7,12767828368492.5,1482819674714.49,29774513165248.5
